web-scraper-order,web-scraper-start-url,name,name-href
"1611147903-272","https://gs.statcounter.com/social-media-stats/all/afghanistan","Cayman Islands","https://gs.statcounter.com/social-media-stats/all/cayman-islands"
"1611147903-346","https://gs.statcounter.com/social-media-stats/all/afghanistan","Latvia","https://gs.statcounter.com/social-media-stats/all/latvia"
"1611147903-423","https://gs.statcounter.com/social-media-stats/all/afghanistan","Singapore","https://gs.statcounter.com/social-media-stats/all/singapore"
"1611147903-457","https://gs.statcounter.com/social-media-stats/all/afghanistan","Vanuatu","https://gs.statcounter.com/social-media-stats/all/vanuatu"
"1611147903-435","https://gs.statcounter.com/social-media-stats/all/afghanistan","Sweden","https://gs.statcounter.com/social-media-stats/all/sweden"
"1611147903-380","https://gs.statcounter.com/social-media-stats/all/afghanistan","Netherlands","https://gs.statcounter.com/social-media-stats/all/netherlands"
"1611147903-433","https://gs.statcounter.com/social-media-stats/all/afghanistan","Suriname","https://gs.statcounter.com/social-media-stats/all/suriname"
"1611147903-307","https://gs.statcounter.com/social-media-stats/all/afghanistan","Gabon","https://gs.statcounter.com/social-media-stats/all/gabon"
"1611147903-266","https://gs.statcounter.com/social-media-stats/all/afghanistan","Bulgaria","https://gs.statcounter.com/social-media-stats/all/bulgaria"
"1611147903-378","https://gs.statcounter.com/social-media-stats/all/afghanistan","Nauru","https://gs.statcounter.com/social-media-stats/all/nauru"
"1611147903-465","https://gs.statcounter.com/social-media-stats/all/afghanistan","Zimbabwe","https://gs.statcounter.com/social-media-stats/all/zimbabwe"
"1611147903-292","https://gs.statcounter.com/social-media-stats/all/afghanistan","Dominican Republic","https://gs.statcounter.com/social-media-stats/all/dominican-republic"
"1611147903-334","https://gs.statcounter.com/social-media-stats/all/afghanistan","Israel","https://gs.statcounter.com/social-media-stats/all/israel"
"1611147903-241","https://gs.statcounter.com/social-media-stats/all/afghanistan","Anguilla","https://gs.statcounter.com/social-media-stats/all/anguilla"
"1611147903-280","https://gs.statcounter.com/social-media-stats/all/afghanistan","Congo Democratic Republic Of The","https://gs.statcounter.com/social-media-stats/all/congo-democratic-republic-of-the"
"1611147903-409","https://gs.statcounter.com/social-media-stats/all/afghanistan","Rwanda","https://gs.statcounter.com/social-media-stats/all/rwanda"
"1611147903-372","https://gs.statcounter.com/social-media-stats/all/afghanistan","Montenegro","https://gs.statcounter.com/social-media-stats/all/montenegro"
"1611147903-246","https://gs.statcounter.com/social-media-stats/all/afghanistan","Aruba","https://gs.statcounter.com/social-media-stats/all/aruba"
"1611147903-284","https://gs.statcounter.com/social-media-stats/all/afghanistan","Cote D'ivoire","https://gs.statcounter.com/social-media-stats/all/cote-d'ivoire"
"1611147903-311","https://gs.statcounter.com/social-media-stats/all/afghanistan","Ghana","https://gs.statcounter.com/social-media-stats/all/ghana"
"1611147903-251","https://gs.statcounter.com/social-media-stats/all/afghanistan","Bahrain","https://gs.statcounter.com/social-media-stats/all/bahrain"
"1611147903-269","https://gs.statcounter.com/social-media-stats/all/afghanistan","Cambodia","https://gs.statcounter.com/social-media-stats/all/cambodia"
"1611147903-363","https://gs.statcounter.com/social-media-stats/all/afghanistan","Martinique","https://gs.statcounter.com/social-media-stats/all/martinique"
"1611147903-377","https://gs.statcounter.com/social-media-stats/all/afghanistan","Namibia","https://gs.statcounter.com/social-media-stats/all/namibia"
